"","country_code","year","income_level"
"1095","CRI",2014,"UM"
"1096","CRI",2015,"UM"
"1097","CRI",2016,"UM"
"1098","CRI",2017,"UM"
"1099","CRI",2018,"UM"
"1100","CRI",2019,"UM"
"1101","CRI",2020,"UM"
"1102","CRI",2021,"UM"
"1103","CRI",2022,"UM"
"1104","CRI",2023,"UM"
"1105","CSK",2000,NA
"1106","CSK",2001,NA
"1107","CSK",2002,NA
"1108","CSK",2003,NA
"1109","CSK",2004,NA
"1110","CSK",2005,NA
"1111","CSK",2006,NA
"1112","CSK",2007,NA
"1113","CSK",2008,NA
"1114","CSK",2009,NA
"1115","CSK",2010,NA
"1116","CSK",2011,NA
"1117","CSK",2012,NA
"1118","CSK",2013,NA
"1119","CSK",2014,NA
"1120","CSK",2015,NA
"1121","CSK",2016,NA
"1122","CSK",2017,NA
"1123","CSK",2018,NA
"1124","CSK",2019,NA
"1125","CSK",2020,NA
"1126","CSK",2021,NA
"1127","CSK",2022,NA
"1128","CSK",2023,NA
"1129","CUB",2000,"LM"
"1130","CUB",2001,"LM"
"1131","CUB",2002,"LM"
"1132","CUB",2003,"LM"
"1133","CUB",2004,"LM"
"1134","CUB",2005,"LM"
"1135","CUB",2006,"LM"
"1136","CUB",2007,"UM"
"1137","CUB",2008,"UM"
"1138","CUB",2009,"UM"
"1139","CUB",2010,"UM"
"1140","CUB",2011,"UM"
"1141","CUB",2012,"UM"
"1142","CUB",2013,"UM"
"1143","CUB",2014,"UM"
"1144","CUB",2015,"UM"
"1145","CUB",2016,"UM"
"1146","CUB",2017,"UM"
"1147","CUB",2018,"UM"
"1148","CUB",2019,"UM"
"1149","CUB",2020,"UM"
"1150","CUB",2021,"UM"
"1151","CUB",2022,"UM"
"1152","CUB",2023,"UM"
"1153","CUW",2000,".."
"1154","CUW",2001,".."
"1155","CUW",2002,".."
"1156","CUW",2003,".."
"1157","CUW",2004,".."
"1158","CUW",2005,".."
"1159","CUW",2006,".."
"1160","CUW",2007,".."
"1161","CUW",2008,".."
"1162","CUW",2009,".."
"1163","CUW",2010,"H"
"1164","CUW",2011,"H"
"1165","CUW",2012,"H"
"1166","CUW",2013,"H"
"1167","CUW",2014,"H"
"1168","CUW",2015,"H"
"1169","CUW",2016,"H"
"1170","CUW",2017,"H"
"1171","CUW",2018,"H"
"1172","CUW",2019,"H"
"1173","CUW",2020,"H"
"1174","CUW",2021,"H"
"1175","CUW",2022,"H"
"1176","CUW",2023,"H"
"1177","CYM",2000,"H"
"1178","CYM",2001,"H"
"1179","CYM",2002,"H"
"1180","CYM",2003,"H"
"1181","CYM",2004,"H"
"1182","CYM",2005,"H"
"1183","CYM",2006,"H"
"1184","CYM",2007,"H"
"1185","CYM",2008,"H"
"1186","CYM",2009,"H"
"1187","CYM",2010,"H"
"1188","CYM",2011,"H"
"1189","CYM",2012,"H"
"1190","CYM",2013,"H"
"1191","CYM",2014,"H"
"1192","CYM",2015,"H"
"1193","CYM",2016,"H"
"1194","CYM",2017,"H"
"1195","CYM",2018,"H"
"1196","CYM",2019,"H"
"1197","CYM",2020,"H"
"1198","CYM",2021,"H"
"1199","CYM",2022,"H"
"1200","CYM",2023,"H"
"1201","CYP",2000,"H"
"1202","CYP",2001,"H"
"1203","CYP",2002,"H"
"1204","CYP",2003,"H"
"1205","CYP",2004,"H"
"1206","CYP",2005,"H"
"1207","CYP",2006,"H"
"1208","CYP",2007,"H"
"1209","CYP",2008,"H"
"1210","CYP",2009,"H"
"1211","CYP",2010,"H"
"1212","CYP",2011,"H"
"1213","CYP",2012,"H"
"1214","CYP",2013,"H"
"1215","CYP",2014,"H"
"1216","CYP",2015,"H"
"1217","CYP",2016,"H"
"1218","CYP",2017,"H"
"1219","CYP",2018,"H"
"1220","CYP",2019,"H"
"1221","CYP",2020,"H"
"1222","CYP",2021,"H"
"1223","CYP",2022,"H"
"1224","CYP",2023,"H"
"1225","CZE",2000,"UM"
"1226","CZE",2001,"UM"
"1227","CZE",2002,"UM"
"1228","CZE",2003,"UM"
"1229","CZE",2004,"UM"
"1230","CZE",2005,"UM"
"1231","CZE",2006,"H"
"1232","CZE",2007,"H"
"1233","CZE",2008,"H"
"1234","CZE",2009,"H"
"1235","CZE",2010,"H"
"1236","CZE",2011,"H"
"1237","CZE",2012,"H"
"1238","CZE",2013,"H"
"1239","CZE",2014,"H"
"1240","CZE",2015,"H"
"1241","CZE",2016,"H"
"1242","CZE",2017,"H"
"1243","CZE",2018,"H"
"1244","CZE",2019,"H"
"1245","CZE",2020,"H"
"1246","CZE",2021,"H"
"1247","CZE",2022,"H"
"1248","CZE",2023,"H"
"1249","DEU",2000,"H"
"1250","DEU",2001,"H"
"1251","DEU",2002,"H"
"1252","DEU",2003,"H"
"1253","DEU",2004,"H"
